Issue,Sub-issue,Consumer complaint narrative
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"I received an offer to create a Chase Pay Over Time Plan with no fees on the first plan. I called and discussed the plan with a customer service agent named XXXX and was told that even though there was an expiration date, the offer renews and they never charge fees on the first plan. When I was ready to make a big ( $ XXXX ) purchase, I went to set up the plan, but the promotion for the fees to be waived was not there. 

On XX/XX/year>, I called and spoke with another agent told them that I was previously told the promotion would renew, but that agent said that was not right. I asked to speak to a supervisor and was transferred to XXXX. I explained my disappointment that I had been told there wouldn't be fees on the first plan and asked if they could extend the expired offer. She placed me on hold and when she returned, she informed me that she was able to get the extension approved to not charge the fees. I asked if she could set it up for me on her end but she said I would have to set it up on the app. I expressed my concern that on my end it still showed there would be fees, but she reassured me that those fees would be waived. I told her I really needed that to be accurate and she reassured again that the fees would be waived. Only at that point did I create the plan. That phone call was recorded and should be accessed and reviewed as proof of my claims. 

Now the fees are being charged despite XXXX 's reassurance that they would be waived by Chase. I've spoken to multiple agents and supervisors who tell me there is nothing they can do and that they are simply sorry that I was given wrong information. Nobody denies that I was told the fees would be waived, but everyone I speak to claims that nobody has the ability to actually follow through with the promises made by XXXX. I even indicated that I would pay the full balance other than the first month 's fee ( since I have gotten no benefit from the plan ) and even that has been refused."
Getting a credit card,Application denied,"I did a application for a Wells Fargo credit card, and it got denied and I received a letter in the mail stating that monthly payments are too high relative to my stated monthly income."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,"I received a Citi Bank card in the mail. I did request. They then sent me a yearly fee statement of {$99.00}. I called them. They said they would waive. Then received a statement and calls and emails saying I owed {$99.00}, yearly fee, {$30.00} late charge and {$52.00} interest. I called agin. They said they took care of. I then received another card in the saying it was a replacement card for the above card. And, then, it started all over. Same charges as stated above only on the replacement card. Calls threatening to turn in to collections. One rep. told me I didn't get to tell them what to do, they would tell me what I was going to do and then hung up on me. I have talked to no less that 5-6 people and they just keep sending me down the line. When I get upset they simply hang up. So, I am still gettin g unsolicited cards, being charged a yearly fee, late fees and interest on cards I NEVER applied for or want."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Problem with fees,"To Whom It May Concern, I am writing to formally file a complaint regarding the mishandling of payments and unjust fees charged by my credit card issuer, Elan Financial Services, through Fidelity. Additionally, I am concerned about the inaccurate reporting of late payments to the credit bureaus, which is negatively impacting my credit score despite my efforts to pay on time. 

Payment History : On XX/XX/XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX, I made my minimum payments from the same XXXX bank account linked through Fidelity.com. These payments were processed without any issues or fees. 

On XX/XX/XXXX, I made another minimum payment of {$94.00} from this same linked XXXX account. However, without my knowledge, Elan marked the payment as returned and charged me a {$30.00} returned payment fee on XX/XX/XXXX. My bank has no record of any returned payments, and sufficient funds were available at the time of the payment. 

Further Attempts to Resolve : On XX/XX/XXXX, I logged into Fidelity.com and made a payment of {$200.00} to cover the new minimum amount. However, between XX/XX/XXXX and XX/XX/XXXX, I received a call from Elan stating that the payment had not been processed. My XXXX account was well-funded, so I immediately attempted to resolve the issue by making another payment of {$280.00} from the same linked account via Fidelity.com. 

Elan has contacted me on multiple occasions regarding the non-processing of payments. Each time, I acted responsibly by attempting to make additional payments to resolve the issue, unaware that each payment would be met with additional fees. At no point was it made clear to me why these payments were not being processed, as my checking account remained well funded throughout. Despite my attempts to fix the issue, I was repeatedly charged fees for returned payments that my bank has no record of returning. 

Issues with Fees and Reporting : Despite my bank confirming no bounce-back fees or issues, Elan has charged me the following fees : {$30.00} returned payment fee on XX/XX/XXXX {$41.00} returned payment fee on XX/XX/XXXX {$41.00} returned payment fee on XX/XX/XXXX In addition, Elan has reported these payments as late to the credit bureaus. The payments were made from my well-funded XXXX checking account linked to Fidelity, and I have been responsible in making timely payments. I am concerned that this incorrect reporting will harm my XXXX XXXX and damage my financial standing, particularly as I am in a transitional period of unemployment starting on XX/XX/XXXX. 

Bank Confusion : My XXXX bank has no record of any returned payments or bounce-back fees, and there have been no issues with my account being sufficiently funded to cover these payments. Elan mentioned something about the routing number being for XXXXXXXX XXXX, which I have never used. My payments in XXXX, XXXX, and XXXX were processed successfully using the same linked XXXX account, which makes this situation even more confusing. 

Financial and Emotional Impact : On XX/XX/XXXX, I was notified by my employer that my position is being offshored, and I will become unemployed on XX/XX/XXXX. Despite explaining my situation to Elan and providing evidence that my payments were made on time and my XXXX account was well-funded, Elan refuses to refund the fees or correct the inaccurate reporting to the credit bureaus. 

The incorrect reporting of late payments has caused me significant emotional distress. My wife and I had planned to buy our first home, but now this unjust damage to my credit score could prevent us from moving forward with those plans. I have never had a late payment in over a decade of managing credit cards, and I feel that this situation is unfair and not reflective of my payment history."
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"I had agreed to a promotional offer on a purchase of no interest charged for a period. I selected autopay to pay the minimum amount to avoid interest. After the promotion expired, the balance was not automatically paid in full. Instead only the minimum continued to be applied. Synchrony bank also added all interest accrued during the promotional period because the amount was not paid in full. This feature was not made clear in the promotion advertising. Due to this error, my account has accrued XXXX XXXX XXXX in interest and synchrony bank refuses to waive any of the interest charges."
Getting a credit card,Card opened without my consent or knowledge,Some stolen my identity and bank info made payments using my info. And bank
Fees or interest,Problem with fees,"My concern is that Wells Fargo claimed that my credit card 0 % interest introductory period expired and charged me interest of {$410.00}, and Wells Fargo refused to provide first time courtesy to waive my interest charge. I would like to request a full refund of the {$410.00} interest because of a few reasons. 
XXXX. I suspected it was a scam advertisement/promotion. I clearly remembered that I applied for credit card in XX/XX/XXXX and the introductory period of credit card that I saw on the Wells Fargo website was 18 months which means the expiry date should be in XXXX but it was changed to 12 months and I have no idea about that and I don't know why. 
XXXX. It's Wells Fargo 's responsibility to remind its customers of incoming expiry date of credit card introductory period but they did not. I never received any email or notice from Wells Fargo telling me that the expiry date was approaching or passed. I would never know of the interest charge if I had not looked at the transactions. The Wells Fargo representative told me that all bank statements showed the expiry date and they were not obligated to remind customers of the information but they were. Moreover, I read the bank statement carefully and it took me more than XXXX minutes to find less than XXXX letters showing the expiry date in the multi-page statement. I don't think customers would read through the entire bank statement letter by letter each month. 
XXXX. I paid the minimum payment on time every month and I did not intentionally delay the payment. The expiry date was XX/XX/XXXX, the interest charge was charged on XX/XX/XXXX, I saw the interest charge, contacted the customer service and paid balance in full immediately on XX/XX/XXXX. It is fair and reasonable to offer a first time courtesy to waive the interest charge for a customer. 

Therefore, I requested a full refund of the interest of {$410.00} from Wells Fargo"
Getting a credit card,Application denied,
Getting a credit card,Application denied,"Ive applied for the American Express Gold Card but was denied based on factors that were stated in the denial letter. I know my application was transferred, securitized then sold to help generate revenue. Under the IRS this is a medium of exchange as mentioned above I have not received my consideration ( credit card ). I also will submit proof of documents ( again ) being sent to me from the company in reference to them denying me. U.S.C. 1431- Powers and duties of banks ( banks do not lend money ) and banks are 15 usc 1602-g states ...,. we the consumers are the creditors, and the banks are the borrowers!"
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Charged too much interest,
Fees or interest,Problem with fees,
Closing your account,Company closed your account,
Fees or interest,Problem with fees,"On XX/XX/year> approximately XXXXXXXX XXXX. I put in a call to Synchrony in regards to a late fee on my credit card account. I informed the employee that I had a {$40.00} late fee on my bill and according to the CFPB late fees are no longer supposed to be more than {$8.00} as of XXXX of 2024. She placed me on a brief hold to look into it and came back to tell me that my late fee would be {$40.00}. I said alright, I will just report you all to the CFPB."
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Application denied,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"I opened an US Bank XXXX XXXX credit card ( last XXXX XXXX ) with a promotional offer around XX/XX/year>. The promotional offer was to receive XXXX bonus points after spending {$2000.00} within XXXX months. I went out of the way to put all my spending on this card to receive this promotional offer even though I could also earn some bonuses on the other credit cards I have. 

At the time of enrollement, there was no language in the terms that said you can only receive XXXX bonus every XXXX years. This seems to be the language US Bank added lately after I signed up for this card on XX/XX/year>, therefore I fee US bank should honor the origional terms and makes me eligible to receive the bonus having fullfilled all of their requirements."
Fees or interest,Charged too much interest,
Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Closing your account,Company closed your account,"CapitalOne closed all 4 of my credit card accounts because of a returned payment. Did not notify me, they closed the accounts XX/XX/year> and sent letters on the same day leaving me in the dark about the closures."
Getting a credit card,Sent card you never applied for,"I was alerted that there had been a check on my credit by Citi bank. 
I was concerned and notified my bank ( not Citi that issued the card. my bank which is where the alert came from ) because I had not applied for a credit card. 
The said they would look into it. 

Today I received an unsolicited Citi XXXX. 
I called to cancel it, and they said there would be an investigation but that I would not be given any details regarding the outcome."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Problem with fees,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Problem with fees,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I formally requested a review of a recent decision regarding a disputed charge on my credit card account. The transaction in question, processed on XX/XX/year> with XXXX for the amount of {$7800.00}, was originally disputed because the merchant failed to provide the agreed-upon service : XXXX XXXX XXXX XXXX XXXX XXXX. I requested a refund on XX/XX/XXXX, prior of access any of their product because I realized this was a scam. 

Despite their commitment XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX, nor did I receive any viable documentation or evidence of efforts on their part to fulfill the promised service. I initially ask for a refund on XX/XX/year>, and I have been delayed and provided different information and where during my 4th attempt at requesting a refund, XXXX XXXX used time as the reason that Im not eligible for a refund. Based on my evidence, I ask multiple times for a refund, about a month later and was giving the run around, asked to work with a 3rd party for credit repair, which was a scam because they took all my information to be never heard of. Then I was told to spend more money with another company for credit repair and I refused, they in turn offered me a {$300.00} refund toward that company, but they never follow through on. I've provided emails communication as supporting documents for all the delays and misleading information. 

Enclosed with the dispute letter : 1. The initial contract or agreement with outlining their obligation to XXXX XXXX XXXX. 
2. My communications with the merchant demonstrating that I attempted to resolve this directly with them and was met with no resolution or funding. 
XXXX. Proof of payment for the service that was never provided. 

Thank you for your time and reconsideration. I look forward to your response and a fair resolution."
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Unexpected increase in interest rate,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"Frontier Airlines charged my Frontier Mastercard {$590.00} on XX/XX/year> for a XXXX XXXX  that I did not authorize, do not want, and do not have access to on my Frontier Airlines account. I disputed the charge with Mastercard and was temporarily credited the {$590.00}. Mastercard subsequently placed the {$590.00} charge back on my credit card and closed my dispute, referring me to Frontier Airlines for resolution. 

Frontier Airlines has refused to remove the {$590.00} charge and advised that they consider the matter "" closed ''. I informed Frontier Airlines that the dispute with Mastercard is closed ; I never authorized this charge ; I never wanted another XXXX XXXX ; and I do not have access to a XXXX XXXX  on my account. 

I have been charged {$590.00} for something I never authorized or wanted and have evidence that I was never provided access to. This is criminal theft of funds!"
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/year>, I was contacted by a business client of XXXX XXXX XXXX in a XXXX XXXX, implying she was recruiting DM appointment setters for her business. After giving me some of the business details and a brief job description, she scheduled me on a call with XXXX of her business partners. On XX/XX/year>, I met with business reps from XXXX XXXX over XXXX, where they introduced the concept to me of a funding partner as a benefit to working with the company. However, it was not stated directly that in reality they would charge me {$1700.00} via various credit & financing platforms to fund my job training. This included a {$250.00} credit charge to my XXXX ( XX/XX/year> ), a {$990.00} charge to XXXX XXXX ( XX/XX/year> ), and a {$500.00} AMEX charge ( XX/XX/year> ). The credit charges were not initiated by myself. The sales rep told me it was a complicated process and that we had to screenshare while he set it up himself. He asked me to share sensitive information including XXXX codes and my XXXX. I was asked to sign a contract that promises to provide appointment setting training alongside guaranteed job placement from the day of the onboarding call. I attached XXXX screenshots from the contract below. It also stipulates, If the client books a total of XXXX fully qualified appointments within XXXX  days from this agreement being signed, then they will be refunded their initial payment A fully qualified appointment is known as XXXX that has {$5000.00} per month in monthly income minimum, XXXX that is willing and able to invest based on the entry level questionnaire, and XXXX that shows up and completes the call. If XXXX clients are not found within a month, the customer is bound by the company to pay installments for their investment, which in my case was {$1700.00}. During this time, the customer is hired, but will have their investment taken out of their earnings. In the XXXX months that have elapsed since signing the contract, I have learned, through consulting with legal sources, that XXXX XXXX XXXX  service guarantee was deceptive/misleading and violates XXXX XXXX XXXX Section XXXX. During my XXXX  month training with XXXX XXXX  after signing the contract on XX/XX/year>, I was confronted with many unforeseen issues that made it impossible to book XXXX qualified appointments and get my initial payment refunded. Firstly, the initial contact by XXXX XXXX of recruiting for a job opportunity is inherently deceptive due to omission/misrepresentation of details. I have attached XXXX screenshots with my initial conversations on XXXX messenger with XXXX XXXX who misled me into thinking XXXX XXXX was a job opportunity as opposed to a pay-to-work scheme. Secondly, XXXX banned me XXXX  times from sending too many outreach messages to find new clients. As I mentioned earlier, in order for me to receive a refund for my initial payment, I have to book "" XXXX fully qualified appointments. '' In order to do this, I had to conduct outreach to hundreds of prospective clients on XXXX messenger. Each time XXXX banned me from sending outreach messages, I could not send messages for XXXX days. XXXX XXXX  did not caution me about this, nor did they provide me with a solution. Consequently, I was unable to book appointments for the majority of the XXXX period. I have attached XXXX screenshots that display this problem. When attempting to message the prospects XXXX XXXX and XXXX XXXX, a "" Couldn't send '' in small red font appears below my blue message. This would happen for several consecutive days on my end. XXXX, the companys sales closers did not show up to the qualified appointments I booked. I have attached screenshots of message threads from XXXX prospects ( XXXX XXXX, XXXX XXXX, and XXXX XXXX ) on XXXX asking me why no one showed up to the call. Situations like this made it impossible for me to reach the "" XXXX fully qualified appointments '' benchmark. And finally, when I reached out to XXXX XXXX client success managers to resolve these issues, no responses were given to resolve my issues on time. Which means that I was unable to access a refund after the XXXX  month ended. Recently, I discovered that {$1900.00} in credit charges was unknowingly charged to my AMEX account, much higher than the {$500.00} initially agreed upon. This means that in total I have been charged {$3100.00} as opposed to the {$1700.00} stipulated in the contract. I attached a screenshot of these transactions below. This served as proof that XXXX XXXX was violating the terms of our contract. Which means that in addition to violating XXXX XXXX XXXX XXXX XXXX, they are breaching a contract. Since then, I have also met several individuals who have been victimized by XXXX XXXX XXXX and its sister company XXXX XXXX XXXX."
Fees or interest,Charged too much interest,
Getting a credit card,Application denied,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Getting a credit card,Application denied,
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Can't close your account,
Fees or interest,Charged too much interest,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"During my vacation in XXXX I received an alert on my phone that a transaction went through on my Apple Card for a store called XXXX. Ive never heard of this store so I immediately googled it to see what this was. From my own research I found that it is a XXXX owned chain of super markets in XXXX. Just to be sure I checked my XXXX account and everything was fine, nothing had been hacked to my knowledge but I changed the password immediately just to be sure. I then immediately contacted apple and explained the situation and they at first removed the charge, thanked me for reporting the fraud right away, and I was back to enjoying my vacation. Some time after I noticed that the charge had been added back to my account. Concerned I reached to inquire about the situation, retold my story to this new agent, and once more they removed the charge. I thought that was the end of it but another month passes and the charge gets dropped back to my account so again I reach out and ask why do they keep doing this and the agent explains that they deemed the charge to be valid. No other details given. XXXX explain how they came to that conclusion. I told them I have proof I wasnt in XXXX. I have my plane ticket showing I was in XXXX during that time frame. So again they removed the charge and again its currently under investigation. I dont know whats going on over there but someone isnt doing their job. With all the technology at our disposal. Is it really this difficult? I just want to be done with this fraudulent charge. I dont know why its been this difficult. I have an excellent credit score. I also have a good savings account with them. I dont know what the issue is here."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,I requested ( XXXX  months ago ) that a merchant be blocked from auto debit as I have cancelled this service. On XXXX the charge re-appeared. Discover said they never did block the merchant and I would be responsible for the charges.
Fees or interest,Charged too much interest,"I am requesting XXXX  XXXX XXXX benefits be applied to my account. I am XXXX XXXX and my home state of record is XXXX. Citibank has not applied XXXX XXXX relief to my account. XXXX with XXXX  protections apply our XXXX benefit no matter when I opened the products. I provided my XXXX, my contract, my state ID and orders. They have already denied my request once. Seeking assistance in getting this corrected."
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Problem with fees,"Hello, I have a XXXX XXXX [ XXXX Bank ] and was late on my XXXX & XXXX payments because I was out of the country and was charged a {$40.00} late fee in XXXX & {$40.00} late fee in XXXX. Not only are the late fees outrageous, but I am also still making a payment within the 30-day window. I received nonstop calls and text messages for XXXX weeks straight in XXXX when it hadn't been over 30 days, and I made my payment within the XXXX window. The calls and text messages were harassing even though they were still in the 30-day window, and I made a payment within XXXX weeks of the actual payment date. I would like to report the harrassement I received and the late fees that are even more than my minimum payment."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I XXXX XXXX am reaching out to the CFPB regarding my Apple Credit Card in which I am owed a balance of $ XXXX. On top of this apple has shut down my credit card for stating that there is a failure to comply with the terms of the Customer Agreement but yet I have done nothing wrong? I was recently audited by the IRS and there were some fishy charge ( s ) on my apple card which apple is known to have high fraud on their credit card. and brought it to their attention. Where does that lead me to a closed account, none of the charge ( s ) that I brought up credited back to me or looked into with a simple statement that the charge ( s ) were authorized. I asked apple to provide proof of how they were authorized and what did they do to come to that conclusion which they were unable to tell me except that they can put the charge ( s ) back under dispute for a secondary investigation. I have no reason to lie there is also due to these numerous billing error ( s ) a late 30 day remark being reported on my consumer credit report for XX/XX/year>. I was never late on this card and if there is a late remark it is due to the billing error ( s ) I have brought to their attention that they fail to resolve. I am reaching out to the CFPB to have this inaccurate blemish on my credit rectified as well as a thorough investigation into these fraudulent charge ( s ) which led to huge billing errors from their finance department."
Closing your account,Company closed your account,"Hello, I need help. I am a citi bank customer, I have regular credit card with citi bank, also I have credit with citi bank with XXXX XXXX. My XXXX XXXX credit card was closed, they've requested XXXX for both of my cards. I already sent it for my regular card and removed block from it but my XXXX XXXX card was closed despite they receiving my XXXX form. They told me that they won't reopen my card. Please help me to reopen it."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"I want to file a complaint against Kohls and Capital One. Without my request, Kohls switched my in store only card to a credit card that can be used anywhere. I did not request a credit card. I believe it is ILLEGAL to send out unsolicited credit cards. 
I also have to now go through the process of canceling the card, and that could impact my credit score, showing I had a card and had to close it. 
thank you"
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Sent card you never applied for,"Capital One : I applied, made the account, but never received a card from them. Now I am receiving emails and letters saying I owe them {$720.00} and have a CHARGED OFF ACCOUNT!"
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Company closed your account,
Fees or interest,Unexpected increase in interest rate,
Getting a credit card,Sent card you never applied for,"Somehow I got signed up for an Amazon Syncrony account. I have no idea how. Got my XXXX bill in XXXX. I thought it was an ad so I dumped it. In XXXX I get another bill and a text that I am in arrears. Now they are putting my XXXX XXXX on the card and I now have a previous balance plus {$40.00} late fee. I call XXXX and told I the lady I want the card canceled. Woman tries to talk me out of it. I refuse until she reluctantly agrees. In XXXX I receive a new bill for {$110.00} for past due + {$80.00} in late fees. 
I call Syncrony back and ask them why it wasn't canceled already and that I WILL NOT PAY {$.00} more. Now I want an email saying it is canceled. 
I call XXXX and tell them to put my XXXX back on my Debit card. Now this morning my monthly XXXX order on my Debit card has been declined. I haven't even used the XXXX card personally, but had to "" pay it off '' in XXXX with {$33.00}."
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Ive noticed Further unauthorized transactions on my chime account and I dont know why fraudulent charges I did not make keep occurring on my chime account Ive give them police report numbers etc no refunds were issued nor refunded its been 3 months since I made my chime account and I get unemployment then the money is taken out my account from unauthorized transactions they dont fix nor look into then Im forced to barrow money from the chime limit from my direct deposit every Monday
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Application denied,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Delay in processing application,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,
Fees or interest,Problem with fees,"I received an email today from Synchrony Bank saying they are going to charge a {$1.00} fee each month for paper statements starting in XXXXXXXX XXXX. This is my Crate & Barrel credit card, but it can be used anywhere XXXX is accepted. 

I explained I need to get paper statements, as its how I keep track of my bills and always pay on time. I pay by check that I mail in each month. I wanted the fees waived, but they refused to accommodate my request. I have an excellent credit rating and am a very good customer. As a show of good faith and a goodwill gesture, they need to honor my request and I cant believe there isnt a law against charging consumers for paper statements if thats my preference and how I choose to pay my bills."
Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Can't close your account,"I discovered my ex husband had stolen my identity and with out my consent or knowledge had me on numerous credit cards ( some of these cards were taken out after the divorce and any cards from before the divorce XX/XX/year> are ordered to be closed ). All of the credit card companies except for Citi bank removed me from the fraudulently obtained cards after providing them with a police report. I have called, emailed, and written physical letters to Citi and they will not remove me from the card he has me on as an authorized user. I have disputed it with XXXX and they will not remove it because Citi will not remove me only he can remove me. I have sent them the police report and explained repeatedly that this was done with out my knowledge or permission and the cards need to be closed. CITICARDS CBNA Account XXXX is one of the cards. I do not have nor authorize myself to be on any Citi Bank Cards, this is not an instituion that I use nor want to use. Please help me get removed from the Citi Bank cards my name is XXXX XXXX but he sometimes uses my married name, XXXX XXXX, and social."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
